Epoch: [0][ 0/69] Time 22.410 (22.410) Data  7.584 ( 7.584) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0956e+01 (2.0956e+01) Inst_Loss_A 1.9246e+01 (1.9246e+01) Inst_Loss_B 2.2665e+01 (2.2665e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [1][60/69] Time  0.309 ( 0.468) Data  0.000 ( 0.136) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9906e+01 (1.9724e+01) Inst_Loss_A 1.9221e+01 (1.9165e+01) Inst_Loss_B 2.0591e+01 (2.0282e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][ 0/69] Time  7.396 ( 7.396) Data  6.914 ( 6.914) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0057e+01 (2.0057e+01) Inst_Loss_A 1.9363e+01 (1.9363e+01) Inst_Loss_B 2.0750e+01 (2.0750e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][10/69] Time  0.410 ( 1.073) Data  0.000 ( 0.671) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9536e+01 (1.9742e+01) Inst_Loss_A 1.8876e+01 (1.9025e+01) Inst_Loss_B 2.0196e+01 (2.0459e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][20/69] Time  0.312 ( 0.715) Data  0.000 ( 0.352) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9523e+01 (1.9771e+01) Inst_Loss_A 1.9113e+01 (1.9123e+01) Inst_Loss_B 1.9933e+01 (2.0418e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][30/69] Time  0.322 ( 0.586) Data  0.000 ( 0.238) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0347e+01 (1.9824e+01) Inst_Loss_A 1.9857e+01 (1.9206e+01) Inst_Loss_B 2.0837e+01 (2.0441e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][40/69] Time  0.314 ( 0.520) Data  0.000 ( 0.180) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9913e+01 (1.9823e+01) Inst_Loss_A 1.9199e+01 (1.9174e+01) Inst_Loss_B 2.0626e+01 (2.0473e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][50/69] Time  0.323 ( 0.481) Data  0.000 ( 0.145) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9807e+01 (1.9864e+01) Inst_Loss_A 1.8879e+01 (1.9211e+01) Inst_Loss_B 2.0735e+01 (2.0517e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [2][60/69] Time  0.312 ( 0.453) Data  0.000 ( 0.121) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0067e+01 (1.9899e+01) Inst_Loss_A 1.9332e+01 (1.9220e+01) Inst_Loss_B 2.0803e+01 (2.0579e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][ 0/69] Time  6.144 ( 6.144) Data  5.614 ( 5.614) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0209e+01 (2.0209e+01) Inst_Loss_A 1.9238e+01 (1.9238e+01) Inst_Loss_B 2.1181e+01 (2.1181e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][10/69] Time  0.334 ( 1.103) Data  0.000 ( 0.711) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9905e+01 (1.9943e+01) Inst_Loss_A 1.9307e+01 (1.9243e+01) Inst_Loss_B 2.0503e+01 (2.0643e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][20/69] Time  0.321 ( 0.733) Data  0.000 ( 0.373) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0157e+01 (1.9952e+01) Inst_Loss_A 1.9238e+01 (1.9233e+01) Inst_Loss_B 2.1076e+01 (2.0672e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][30/69] Time  0.313 ( 0.598) Data  0.000 ( 0.252) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0339e+01 (2.0016e+01) Inst_Loss_A 1.9347e+01 (1.9293e+01) Inst_Loss_B 2.1331e+01 (2.0738e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][40/69] Time  0.315 ( 0.529) Data  0.000 ( 0.191) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0205e+01 (2.0014e+01) Inst_Loss_A 1.9460e+01 (1.9307e+01) Inst_Loss_B 2.0951e+01 (2.0720e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][50/69] Time  0.310 ( 0.487) Data  0.000 ( 0.154) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9602e+01 (2.0014e+01) Inst_Loss_A 1.9093e+01 (1.9299e+01) Inst_Loss_B 2.0111e+01 (2.0729e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [3][60/69] Time  0.313 ( 0.458) Data  0.000 ( 0.128) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0199e+01 (2.0052e+01) Inst_Loss_A 1.9584e+01 (1.9311e+01) Inst_Loss_B 2.0815e+01 (2.0792e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
